Date,Open,High,Low,Close,Adj Close,Volume
2018-03-14,7.000000,8.050000,6.850000,6.920000,6.920000,219700
2018-03-15,6.970000,7.150000,6.240000,6.540000,6.540000,56800
2018-03-16,6.760000,6.950000,5.840000,6.300000,6.300000,53200
2018-03-19,6.250000,6.250000,5.770000,5.910000,5.910000,40800
2018-03-20,5.750000,5.840000,5.150000,5.530000,5.530000,14300
2018-03-21,5.530000,5.930000,5.300000,5.650000,5.650000,18000
2018-03-22,5.560000,6.260000,5.250000,5.420000,5.420000,23300
2018-03-23,5.100000,6.070000,5.100000,5.460000,5.460000,12700
2018-03-26,5.840000,5.840000,5.180000,5.790000,5.790000,17900
2018-03-27,5.680000,5.700000,5.170000,5.340000,5.340000,27300
2018-03-28,5.600000,5.600000,5.110000,5.200000,5.200000,20600
2018-03-29,5.200000,5.310000,5.070000,5.310000,5.310000,12200
2018-04-02,5.270000,5.870000,5.070000,5.080000,5.080000,46400
2018-04-03,5.000000,6.200000,5.000000,6.000000,6.000000,200800
2018-04-04,6.120000,6.640000,5.280000,5.380000,5.380000,179000
2018-04-05,5.400000,5.400000,5.110000,5.140000,5.140000,75300
2018-04-06,5.050000,5.190000,5.040000,5.060000,5.060000,29100
2018-04-09,5.190000,5.240000,5.000000,5.010000,5.010000,25400
2018-04-10,5.080000,5.290000,5.040000,5.270000,5.270000,26100
2018-04-11,5.390000,5.590000,5.130000,5.150000,5.150000,76900
2018-04-12,5.150000,5.320000,5.100000,5.120000,5.120000,29600
2018-04-13,5.100000,5.500000,5.000000,5.120000,5.120000,35200
2018-04-16,5.370000,5.370000,4.980000,5.020000,5.020000,31400
2018-04-17,5.270000,5.460000,5.060000,5.250000,5.250000,65800
2018-04-18,5.350000,5.590000,5.300000,5.370000,5.370000,46600
2018-04-19,5.610000,5.870000,5.400000,5.570000,5.570000,149900
2018-04-20,6.350000,6.660000,5.700000,5.770000,5.770000,923100
2018-04-23,5.900000,5.900000,5.200000,5.590000,5.590000,59700
2018-04-24,5.480000,5.640000,5.280000,5.360000,5.360000,30800
2018-04-25,5.400000,5.730000,5.130000,5.190000,5.190000,185700
2018-04-26,5.180000,5.440000,5.180000,5.280000,5.280000,14100
2018-04-27,5.250000,5.430000,5.190000,5.260000,5.260000,23600
2018-04-30,5.240000,5.490000,5.240000,5.250000,5.250000,23200
2018-05-01,5.150000,5.370000,5.100000,5.200000,5.200000,24500
2018-05-02,5.170000,5.350000,5.170000,5.250000,5.250000,24900
2018-05-03,5.200000,5.340000,5.120000,5.130000,5.130000,30200
2018-05-04,5.140000,5.690000,5.140000,5.450000,5.450000,191800
2018-05-07,5.470000,5.510000,5.170000,5.190000,5.190000,49800
2018-05-08,5.160000,5.360000,5.150000,5.240000,5.240000,43700
2018-05-09,5.180000,5.210000,5.100000,5.160000,5.160000,16700
2018-05-10,5.180000,5.240000,5.020000,5.020000,5.020000,36200
2018-05-11,5.080000,5.240000,5.020000,5.130000,5.130000,12700
2018-05-14,5.190000,5.240000,5.020000,5.160000,5.160000,18200
2018-05-15,5.180000,5.200000,5.020000,5.130000,5.130000,6800
2018-05-16,5.170000,5.280000,5.060000,5.060000,5.060000,21300
2018-05-17,5.090000,5.160000,5.010000,5.080000,5.080000,8100
2018-05-18,5.050000,5.360000,5.050000,5.300000,5.300000,31900
2018-05-21,5.340000,5.460000,5.200000,5.200000,5.200000,8000
2018-05-22,5.160000,6.250000,5.160000,5.310000,5.310000,820500
